,REGION,YEAR,WEEK,TOTAL CASES
412,North Dakota,2010,47,2.0
413,Ohio,2010,47,2.0
414,Oklahoma,2010,47,1.0
415,Oregon,2010,47,0.0
416,Pennsylvania,2010,47,18.0
417,Rhode Island,2010,47,0.0
418,South Carolina,2010,47,2.0
419,South Dakota,2010,47,1.0
420,Tennessee,2010,47,0.0
421,Texas,2010,47,27.0
422,Utah,2010,47,37.0
423,Vermont,2010,47,0.0
424,Virginia,2010,47,1.0
425,Washington,2010,47,7.0
426,West Virginia,2010,47,0.0
427,Wisconsin,2010,47,3.0
428,Wyoming,2010,47,0.0
429,Puerto Rico,2010,47,0.0
430,Virgin Islands,2010,47,0.0
431,New York City,2010,47,0.0
432,Alabama,2010,48,16.0
433,Alaska,2010,48,0.0
434,Arizona,2010,48,14.0
435,Arkansas,2010,48,2.0
436,California,2010,48,16.0
437,Colorado,2010,48,9.0
438,Connecticut,2010,48,3.0
439,Delaware,2010,48,5.0
440,District of Columbia,2010,48,0.0
441,Florida,2010,48,0.0
442,Georgia,2010,48,133.0
443,Hawaii,2010,48,17.0
444,Idaho,2010,48,0.0
445,Illinois,2010,48,6.0
446,Indiana,2010,48,3.0
447,Iowa,2010,48,4.0
448,Kansas,2010,48,1.0
449,Kentucky,2010,48,14.0
450,Louisiana,2010,48,8.0
451,Maine,2010,48,0.0
452,Maryland,2010,48,4.0
453,Massachusetts,2010,48,0.0
454,Michigan,2010,48,0.0
455,Minnesota,2010,48,9.0
456,Mississippi,2010,48,0.0
457,Missouri,2010,48,3.0
458,Montana,2010,48,1.0
459,Nebraska,2010,48,0.0
460,Nevada,2010,48,0.0
461,New Hampshire,2010,48,0.0
462,New Jersey,2010,48,0.0
463,New Mexico,2010,48,4.0
464,New York,2010,48,36.0
465,North Carolina,2010,48,7.0
466,North Dakota,2010,48,1.0
467,Ohio,2010,48,3.0
468,Oklahoma,2010,48,5.0
469,Oregon,2010,48,1.0
470,Pennsylvania,2010,48,19.0
471,Rhode Island,2010,48,0.0
472,South Carolina,2010,48,4.0
473,South Dakota,2010,48,3.0
474,Tennessee,2010,48,2.0
475,Texas,2010,48,25.0
476,Utah,2010,48,52.0
477,Vermont,2010,48,0.0
478,Virginia,2010,48,0.0
479,Washington,2010,48,9.0
480,West Virginia,2010,48,2.0
481,Wisconsin,2010,48,5.0
482,Wyoming,2010,48,2.0
483,Puerto Rico,2010,48,0.0
484,Virgin Islands,2010,48,0.0
485,New York City,2010,48,0.0
486,Alabama,2010,49,38.0
487,Alaska,2010,49,2.0
488,Arizona,2010,49,55.0
489,Arkansas,2010,49,1.0
490,California,2010,49,18.0
491,Colorado,2010,49,13.0
492,Connecticut,2010,49,23.0
493,Delaware,2010,49,2.0
494,District of Columbia,2010,49,0.0
495,Florida,2010,49,0.0
496,Georgia,2010,49,140.0
497,Hawaii,2010,49,29.0
498,Idaho,2010,49,0.0
499,Illinois,2010,49,15.0
500,Indiana,2010,49,5.0
501,Iowa,2010,49,3.0
502,Kansas,2010,49,0.0
503,Kentucky,2010,49,19.0
504,Louisiana,2010,49,13.0
505,Maine,2010,49,0.0
506,Maryland,2010,49,8.0
507,Massachusetts,2010,49,2.0
508,Michigan,2010,49,6.0
509,Minnesota,2010,49,15.0
510,Mississippi,2010,49,0.0
511,Missouri,2010,49,10.0
512,Montana,2010,49,3.0
513,Nebraska,2010,49,1.0
514,Nevada,2010,49,7.0
515,New Hampshire,2010,49,1.0
516,New Jersey,2010,49,0.0
517,New Mexico,2010,49,3.0
518,New York,2010,49,64.0
519,North Carolina,2010,49,4.0
520,North Dakota,2010,49,3.0
521,Ohio,2010,49,0.0
522,Oklahoma,2010,49,6.0
523,Oregon,2010,49,0.0
524,Pennsylvania,2010,49,31.0
525,Rhode Island,2010,49,0.0
526,South Carolina,2010,49,5.0
527,South Dakota,2010,49,5.0
528,Tennessee,2010,49,6.0
529,Texas,2010,49,49.0
530,Utah,2010,49,111.0
531,Vermont,2010,49,0.0
532,Virginia,2010,49,6.0
533,Washington,2010,49,7.0
534,West Virginia,2010,49,3.0
535,Wisconsin,2010,49,3.0
536,Wyoming,2010,49,0.0
537,Puerto Rico,2010,49,0.0
538,Virgin Islands,2010,49,0.0
539,New York City,2010,49,0.0
540,Alabama,2010,50,56.0
541,Alaska,2010,50,1.0
542,Arizona,2010,50,89.0
543,Arkansas,2010,50,4.0
544,California,2010,50,17.0
545,Colorado,2010,50,23.0
546,Connecticut,2010,50,21.0
547,Delaware,2010,50,5.0
548,District of Columbia,2010,50,2.0
549,Florida,2010,50,0.0
550,Georgia,2010,50,244.0
551,Hawaii,2010,50,32.0
552,Idaho,2010,50,0.0
553,Illinois,2010,50,17.0
554,Indiana,2010,50,16.0
555,Iowa,2010,50,19.0
556,Kansas,2010,50,3.0
557,Kentucky,2010,50,32.0
558,Louisiana,2010,50,71.0
